Date,Adj Close,Open,High,Low,Close,Volume
2010-12-22,10008.01,10302.36,10381.61,10223.11,10223.11,1583987
2010-12-23,10085.59,10143.86,10302.36,10143.86,10302.36,2194338
2010-12-24,10008.01,10302.36,10381.61,10143.86,10223.11,1463535
2010-12-27,10008.01,10302.36,10302.36,10143.86,10223.11,1615914
2010-12-28,10085.59,10302.36,10302.36,10143.86,10302.36,1799698
2010-12-29,10008.01,10302.36,10302.36,10064.61,10223.11,2062729
2010-12-30,9852.85,10064.61,10223.11,10064.61,10064.61,3387796
2010-12-31,10008.01,10064.61,10223.11,10064.61,10223.11,1836542
2011-01-04,9852.85,10302.36,10302.36,10064.61,10064.61,1598367
2011-01-05,9697.69,10143.86,10143.86,9826.87,9906.11,2014713
2011-01-06,9697.69,9826.87,9985.36,9826.87,9906.11,842714
2011-01-07,9620.11,9826.87,9906.11,9826.87,9826.87,3042486
2011-01-10,9697.69,9826.87,10064.61,9826.87,9906.11,2459007
2011-01-11,9697.69,9906.11,9985.36,9747.62,9906.11,1566381
2011-01-12,9464.94,9985.36,9985.36,9668.37,9668.37,2304874
2011-01-13,9387.36,9589.12,9747.62,9589.12,9589.12,1306691
2011-01-14,9852.85,9906.11,10064.61,9906.11,10064.61,1167445
2011-01-17,10085.59,10540.11,10540.11,10302.36,10302.36,3725399
2011-01-18,10085.59,10302.36,10460.86,10223.11,10302.36,2186702
2011-01-19,10008.01,10460.86,10460.86,10223.11,10223.11,1543793
2011-01-20,9852.85,10143.86,10223.11,10064.61,10064.61,888076
2011-01-21,9930.43,10302.36,10302.36,10143.86,10143.86,1800581
2011-01-24,9775.27,10143.86,10143.86,9985.36,9985.36,2337364
2011-01-25,9697.69,9906.11,10064.61,9906.11,9906.11,2761922
2011-01-26,9620.11,9826.87,9906.11,9747.62,9826.87,2195606
2011-01-27,10085.59,9747.62,10302.36,9747.62,10302.36,2440590
2011-01-28,9775.27,10381.61,10381.61,9985.36,9985.36,2574596
2011-02-08,9852.85,10064.61,10460.86,10064.61,10064.61,3029434
2011-02-09,9775.27,10302.36,10302.36,9985.36,9985.36,1331866
2011-02-10,9697.69,9985.36,10064.61,9906.11,9906.11,2480782
2011-02-11,9620.11,9906.11,9906.11,9747.62,9826.87,3640097
2011-02-14,9542.52,9985.36,9985.36,9668.37,9747.62,1834776
2011-02-15,9542.52,9668.37,9747.62,9668.37,9747.62,1681525
2011-02-16,9464.94,9747.62,9826.87,9668.37,9668.37,1130411
2011-02-17,9464.94,9668.37,9668.37,9509.87,9668.37,1154007
2011-02-18,8999.45,9509.87,9668.37,9192.87,9192.87,4257835
2011-02-21,8611.55,9034.38,9034.38,8796.63,8796.63,2203235
2011-02-22,8378.8,8479.63,8796.63,8400.38,8558.88,4129385
2011-02-23,8301.22,8479.63,8796.63,8479.63,8479.63,2397181
2011-02-24,8223.64,8241.89,8400.38,8083.39,8400.38,3731023
2011-02-25,8611.55,8400.38,8796.63,8321.14,8796.63,2308665
